ConceptScheme URI,http://w3id.org/permafrost/v/illustrateddictionary/scheme,,,,,,,,,,,
dct:title,An Illustrated Permafrost Dictionary,,,,,,,,,,,
rdfs:label,An Illustrated Permafrost Dictionary,,,,,,,,,,,
dct:description^^rdf:HTML,"<p>A machine-readable representation of the definitions described in <a href='https://doi.org/10.52381/CPA.permafrostdictionary.1'>An Illustrated Permafrost Dictionary</a>.</p>
<p>The Illustrated Permafrost Dictionary includes definitions for 100 terms relating to permafrost environments. It is intended to meet the needs of non-specialists interested in permafrost, including northerners (Indigenous and non-Indigenous), students, policymakers, the media, and the general public in Canada and elsewhere. </p>",,,,,,,,,,,
dcterms:isFormatOf^^rdf:HTML,<p><a href='https://doi.org/10.52381/CPA.permafrostdictionary.1'>An Illustrated Permafrost Dictionary</a>.</p>,,,,,,,,,,,
dct:contributor,Antoni G. Lewkowicz,,,,,,,,,,,
dct:contributor,Stephen A. Wolfe,,,,,,,,,,,
dct:contributor,Vladislav E. Roujanski,,,,,,,,,,,
dct:contributor,Ed Hoeve,,,,,,,,,,,
dct:contributor,H. Brendan O'Neill,,,,,,,,,,,
dct:contributor,Stephan Gruber,,,,,,,,,,,
dct:contributor,Pascale Roy-Léveillée,,,,,,,,,,,
dct:contributor,Nicholas Brown,,,,,,,,,,,
dct:contributor,Cassandra Koenig,,,,,,,,,,,
dct:contributor,Heather Brooks,,,,,,,,,,,
dct:contributor,Ashley Rudy,,,,,,,,,,,
dct:contributor,Michel Paquette,,,,,,,,,,,
dct:contributor,Philip Bonnaventure,,,,,,,,,,,
dct:identifier^^xsd:token,illustrateddictionary,,,,,,,,,,,
skos:prefLabel,An Illustrated Permafrost Dictionary,,,,,,,,,,,
skos:definition,,,,,,,,,,,,
dcterms:created^^xsd:date,2024-06-06,,,,,,,,,,,
dcterms:modified^^xsd:date,2025-01-01,,,,,,,,,,,
owl:versionInfo,1.0,,,,,,,,,,,
dct:source^^xsd:anyURI,https://doi.org/10.52381/CPA.permafrostdictionary.1,,,,,,,,,,,
dct:license,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
URI,skos:prefLabel@en,skos:prefLabel@fr,skos:definition@en,skos:scopeNote@en,"skos:altLabel@en(separator="","")","skos:hiddenLabel@en(separator="","")",skos:prefLabel@fr,dcterms:identifier^^xsd:token,"dct:references(separator="";"")",foaf:img^^rdf:resource,"foaf:depiction^^rdf:resource(separator="";"")",dct:source^^xsd:anyURI
http://w3id.org/permafrost/v/illustratedpermafrost/activelayer,active layer,,The top layer of the ground over permafrost that thaws in summer and freezes in winter. ,Did you know? The active layer is thinner in the Arctic where the permafrost is continuous and thicker in the Subarctic where permafrost is discontinuous.,,,,activelayer,,,,https://doi.org/10.52381/CPA.permafrostdictionary.1
http://w3id.org/permafrost/v/illustratedpermafrost/activelayerdetachmentfailure,active-layer detachment failure,,A landslide in which the  thawed surface layer of the ground detaches and slides downslope over frozen soil . ,Did you know? Active-layer detachment failures typically happen during particularly warm summers or after heavy rainfall or forest fire. ,,,,activelayerdetachmentfailure,,,,https://doi.org/10.52381/CPA.permafrostdictionary.1
http://w3id.org/permafrost/v/illustratedpermafrost/activelayerthickness,active-layer thickness,,The thickness of the layer of the ground over permafrost that thaws in summer and freezes in winter. ,"Did you know? Permafrost scientists measure active-layer thickness every year at many sites in the Arctic, Antarctic and high mountains as an indicator of climate change (see https://arcticdata.io/catalog/portals/CALM)",,,,activelayerthickness,,,,https://doi.org/10.52381/CPA.permafrostdictionary.1
